Date,Open,High,Low,Close,Adj Close,Volume
2017-06-06,30.07,30.57,27.879998999999998,28.469998999999998,28.469998999999998,25712956
2017-06-07,28.469998999999998,30.389999,27.799999,29.9,29.9,24919274
2017-06-08,29.9,30.629998999999998,29.51,29.540001,29.540001,21986499
2017-06-09,29.540001,30.309998999999998,29.389999,30.059998999999998,30.059998999999998,24059480
2017-06-10,30.059998999999998,34.43,29.65,33.630001,33.630001,52704206
2017-06-11,33.630001,33.700001,27.09,28.98,28.98,55552187
2017-06-12,28.98,30.610001,28.74,30.379998999999998,30.379998999999998,22434912
2017-06-13,30.379998999999998,31.809998999999998,27.959999,29.190001000000002,29.190001000000002,40744168
2017-06-14,29.190001000000002,29.790001,25.450001,29.290001,29.290001,42738176
2017-06-15,29.290001,34.18,28.32,34.119999,34.119999,53638308
2017-06-16,34.119999,47.700001,34.119999,45.799999,45.799999,204842940
2017-06-17,45.799999,45.810001,39.490002000000004,43.799999,43.799999,106024449
2017-06-18,43.799999,50.139998999999996,42.450001,47.369999,47.369999,134413488
2017-06-19,47.369999,48.32,43.290001000000004,45.68,45.68,68659918
2017-06-20,45.68,46.75,42.849998,44.5,44.5,53663961
2017-06-21,44.5,47.91,43.209998999999996,46.16,46.16,44885019
2017-06-22,46.16,46.98,45.48,46.0,46.0,24046249
2017-06-23,46.0,46.09,42.040001000000004,42.700001,42.700001,35158428
2017-06-24,42.700001,44.02,39.330002,41.279999,41.279999,40946994
2017-06-25,41.279999,42.209998999999996,34.43,38.529999,38.529999,67058517
2017-06-26,38.529999,40.240002000000004,34.189999,40.240002000000004,40.240002000000004,51972842
2017-06-27,40.240002000000004,43.099998,37.950001,41.889998999999996,41.889998999999996,47463923
2017-06-28,41.889998999999996,41.939999,39.450001,40.130001,40.130001,25918352
2017-06-29,40.130001,41.220001,39.290001000000004,39.48,39.48,20906005
2017-06-30,39.48,39.700001,37.119999,38.080002,38.080002,19837650
2017-07-01,38.080002,41.650002,36.869999,41.259997999999996,41.259997999999996,26758013
2017-07-02,41.259997999999996,47.560001,40.360001000000004,45.34,45.34,82237199
2017-07-03,45.34,54.82,45.34,54.509997999999996,54.509997999999996,136045162
2017-07-04,54.509997999999996,56.580002,49.110001000000004,52.919998,52.919998,97598572
2017-07-05,52.919998,52.98,49.790001000000004,51.040001000000004,51.040001000000004,42796216
2017-07-06,51.040001000000004,51.18,44.470001,46.099998,46.099998,82111789
2017-07-07,46.099998,52.110001000000004,44.330002,51.220001,51.220001,62095488
2017-07-08,51.220001,52.400002,48.32,48.630001,48.630001,43087563
2017-07-09,48.630001,49.66,42.68,45.0,45.0,66471287
2017-07-10,45.0,46.689999,41.84,43.98,43.98,66201265
2017-07-11,43.98,48.380001,42.400002,47.139998999999996,47.139998999999996,60143698
2017-07-12,47.139998999999996,47.66,44.07,45.689999,45.689999,33745880
2017-07-13,45.689999,45.959998999999996,39.959998999999996,42.459998999999996,42.459998999999996,53012174
2017-07-14,42.459998999999996,42.68,37.700001,38.41,38.41,55602665
2017-07-15,38.41,41.810001,35.490002000000004,40.700001,40.700001,65293460
2017-07-16,40.700001,42.98,39.91,42.169998,42.169998,60156241
2017-07-17,42.169998,44.84,40.740002000000004,43.349998,43.349998,57140834
2017-07-18,43.349998,43.77,39.82,40.110001000000004,40.110001000000004,41443140
2017-07-19,40.110001000000004,45.23,40.110001000000004,44.349998,44.349998,61701476
2017-07-20,44.349998,47.310001,43.990002000000004,45.200001,45.200001,51397779
2017-07-21,45.200001,47.110001000000004,44.880001,46.470001,46.470001,22979927
2017-07-22,46.470001,46.669998,43.630001,44.669998,44.669998,28134127
2017-07-23,44.669998,45.279999,43.849998,44.77,44.77,20003120
2017-07-24,44.77,45.049999,40.52,42.299999,42.299999,42446216
2017-07-25,42.299999,43.09,40.470001,42.029999,42.029999,24636676
2017-07-26,42.029999,42.41,40.889998999999996,41.889998999999996,41.889998999999996,20292493
2017-07-27,41.889998999999996,42.189999,40.169998,40.43,40.43,25261842
2017-07-28,40.43,41.400002,38.549999,41.07,41.07,21624892
2017-07-29,41.07,42.049999,39.82,40.610001000000004,40.610001000000004,14790620
2017-07-30,40.610001000000004,43.57,38.450001,42.380001,42.380001,36896252
2017-07-31,42.380001,43.93,41.110001000000004,43.16,43.16,39690704
2017-08-01,43.16,43.189999,41.66,41.919998,41.919998,20133705
2017-08-02,41.919998,43.18,41.799999,42.75,42.75,14029809
2017-08-03,42.75,43.77,42.41,43.310001,43.310001,16242345
2017-08-04,43.310001,47.23,43.209998999999996,46.240002000000004,46.240002000000004,40240694
2017-08-05,46.240002000000004,46.880001,45.16,45.560001,45.560001,20509678
2017-08-06,45.560001,46.700001,45.209998999999996,46.110001000000004,46.110001000000004,19821566
2017-08-07,46.110001000000004,49.93,45.689999,49.130001,49.130001,38124611
2017-08-08,49.130001,50.200001,46.900002,47.779999,47.779999,36171405
2017-08-09,47.779999,48.68,46.970001,46.970001,46.970001,18788211
2017-08-10,46.970001,47.619999,46.630001,47.110001000000004,47.110001000000004,21086959
2017-08-11,47.110001000000004,47.77,46.0,46.27,46.27,26154345
2017-08-12,46.27,47.43,44.0,45.490002000000004,45.490002000000004,35331475
2017-08-13,45.490002000000004,46.560001,45.150002,45.700001,45.700001,19459261
2017-08-14,45.700001,45.799999,41.779999,43.169998,43.169998,33786160
2017-08-15,43.169998,44.939999,42.099998,43.970001,43.970001,22142597
2017-08-16,43.970001,44.740002000000004,43.130001,43.830002,43.830002,18733697
2017-08-17,43.830002,47.919998,43.23,46.740002000000004,46.740002000000004,40574149
2017-08-18,46.740002000000004,46.889998999999996,43.389998999999996,45.189999,45.189999,20514354
2017-08-19,45.189999,47.389998999999996,44.07,45.810001,45.810001,17689808
2017-08-20,45.810001,48.939999,45.27,48.09,48.09,30030772
2017-08-21,48.09,48.099998,44.849998,46.400002,46.400002,28209467
2017-08-22,46.400002,55.43,46.049999,53.439999,53.439999,83643726
2017-08-23,53.439999,53.580002,50.34,50.360001000000004,50.360001000000004,56389670
2017-08-24,50.360001000000004,52.299999,49.779999,51.09,51.09,30861268
2017-08-25,51.09,52.130001,50.09,51.580002,51.580002,22089859
2017-08-26,51.580002,64.489998,51.369999,61.080002,61.080002,121485913
2017-08-27,61.080002,64.949997,58.869999,62.360001000000004,62.360001000000004,81891911
2017-08-28,62.360001000000004,64.199997,61.169998,63.759997999999996,63.759997999999996,58218596
2017-08-29,63.759997999999996,66.57,61.860001000000004,65.970001,65.970001,52584713
2017-08-30,65.970001,74.589996,65.120003,73.029999,73.029999,129559211
2017-08-31,73.029999,92.769997,71.5,87.879997,87.879997,316464574
2017-09-01,87.879997,93.66999799999999,73.290001,79.18,79.18,260187395
2017-09-02,79.18,84.07,74.949997,79.040001,79.040001,124890039
2017-09-03,79.040001,79.059998,62.970001,68.889999,68.889999,197880261
2017-09-04,68.889999,74.690002,63.290001000000004,73.730003,73.730003,137991645
2017-09-05,73.730003,82.16999799999999,73.690002,81.440002,81.440002,147734449
2017-09-06,81.440002,82.839996,77.400002,80.25,80.25,96855844
2017-09-07,80.25,82.199997,68.41999799999999,73.190002,73.190002,187197024
2017-09-08,73.190002,73.949997,69.0,71.089996,71.089996,76615292
